names,location,max mag,min mag,period
V0724 Her  ,171109.7+423359 ,14.1,15.6,0.640171
AH    Crt  ,112501.4-101608 ,13.3, 14.4  :   ,0.64036
FP    Boo *,154300.3+431555 ,10.14,10.44,0.640458
V1255 Cen  ,124737.1-393242 ,16.2,16.72,0.6405
AC    Gru  ,225149.4-502931 ,14.4,15.7,0.6405
GM    Del  ,203954.3+163015 ,16,<17.0      ,0.640565
BF    Vir *,134752.6-003541 ,10.5,11.23,0.64057
V0965 Cyg *,194409.3+314237 ,13.9,14.9,0.64057256
V2545 Sgr  ,182556.4-320927 ,14.8,16,0.6405743
V0387 Cyg *,211537.4+372952 ,11.5,12.3,0.6405964
V1241 Oph  ,170202.3-190045 ,15.2,16.4,0.64061
V0805 Sgr  ,184933.5-284513 ,14.7,15.4,0.6406812
V2695 Oph  ,164124.4-015951 ,17.1,17.5,0.640813
AK    Vel *,080553.9-463657 ,13,13.4,0.6409118
V0578 Cen  ,115706.9-393131 ,13.9,15,0.64092
V0491 Ser  ,155629.5-005922 ,18.7,19.6,0.640964
BH    Peg *,225301.0+154717 ,9.99,10.79,0.640993
V0715 Her  ,170511.9+475913 ,13.8,15.2,0.641164
GW    Tau *,043009.5+253227 ,11.2,11.9,0.6413291
WZ    UMi *,135117.0+744244 ,12.85,13.15,0.64137
V0547 Cen  ,144310.6-381210 ,14.7,15.7,0.64137
V0536 And *,013428.6+395026 ,14.2,14.6,0.6415
V2793 Oph  ,182053.5+112755 ,14.6,15.7,0.641683
LT    CrA  ,180242.2-393610 ,15.5,16.6,0.64175
V0428 Her  ,173714.6+244909 ,16.3,17.4,0.6417657
DI    Vir  ,124521.9+084531 ,14.9,16.5,0.641776
V2000 Sgr  ,183206.8-223144 ,13.7,15.1,0.6418382
V1301 Sgr  ,182733.5-360159 ,14.5,15.4,0.6418776
V0857 Mon *,065156.8+002547 ,15.82,16.02,0.642
FP    Sge *,201445.8+193650 ,14.5,14.9,0.6420055
CE    Peg  ,214047.0+250915 ,13.2,14.2,0.64202
CN    Tau  ,055809.4+280234 ,13.1,13.7,0.642062
W     Tuc *,005809.7-632344 ,10.73,11.92,0.64222988
V0675 Sgr *,181335.4-341902 ,9.8,10.76,0.6422893
V0428 Ara  ,165947.5-600711 ,14.5,15.6,0.6424
V3464 Sgr  ,183034.2-362105 ,15.9,16.9,0.64242
V2731 Oph *,173021.9-055932 ,15.4,-0.1,0.642549
V0700 Oph *,162526.3-061604 ,14.73,15.74,0.6426
V0525 Peg  ,222528.1+200911 ,12.94,13.98,0.6426329
AG    Vir *,120103.5+130030 ,8.35,-0.58,0.64265075
FI    Peg  ,212235.5+135301 ,16.2,17.3,0.642672
V3461 Sgr  ,183032.4-361918 ,15.8,17,0.64281
AV    Lib  ,151913.3-244558 ,13.3,14.3,0.64293
V0427 Ser  ,152014.2-002603 ,14.5,15.6,0.642954
V2948 Sgr  ,181809.8-321722 ,16.2,17.5,0.64302
V1244 Oph *,170204.4-180121 ,17.5,18.5,0.64303
TW    Mic  ,203852.6-420314 ,14.5,15.1,0.64308
V1968 Oph  ,172216.2-202556 ,16.9,17.9,0.64311
V3301 Sgr  ,182524.4-305630 ,15,16.8,0.64322
AC    UMi  ,161319.9+812335 ,12.65,<13.3      ,0.64329
MO    Eri  ,044339.2-005841 ,17.7,18.9,0.643377
CT    Aps  ,170141.6-812119 ,13.2,14.3,0.6435
UU    Hor *,031825.4-493602 ,12.1,12.9,0.6436812
V1023 Cas  ,000006.7+563912 ,18.13,18.75,0.6437
V2514 Sgr  ,181808.4-341844 ,14.2,15.4,0.6438395
MO    Lib  ,145021.3-090550 ,12.75,13.5,0.64395
V0599 Vir  ,145327.5-002527 ,18.9,19.8,0.643965
V0464 Vir  ,131717.8-003558 ,18.7,19.1,0.643985
V0345 Lyr  ,184513.9+420242 ,15,16,0.644
V0438 Ara  ,170113.1-591947 ,15.1,15.7,0.644
AQ    UMa  ,111259.5+424841 ,15.5,17,0.644029
SW    Lyn *,080741.6+414802 ,9.51,10.2,0.6440634
V2895 Sgr  ,181720.1-320116 ,15.2,16.7,0.64412
V0415 Ser  ,151226.4-003537 ,18.2,19.1,0.644122
V0824 Cyg *,200230.3+361401 ,14,14.9,0.644194765
V0744 CrA  ,180840.0-393023 ,13.2,13.7,0.64437
OO    UMa  ,123454.0+533759 ,14.2,15.1,0.64447
EL    Lyn  ,082522.7+403455 ,12.65,13.2,0.64453
VZ    Cap  ,210927.3-152348 ,14.4,15.8,0.64464
V0541 Sco  ,174700.3-412230 ,14.8,16.3,0.644705
UU    UMa  ,122009.7+565452 ,13,14,0.64481
V2344 Sgr  ,182650.0-232538 ,13.4, 14.8  :   ,0.64491
V0431 Vir  ,125600.9-001450 ,16.6,17,0.644941
V0650 Aur  ,071145.0+403207 ,13.6,-0.05,     0.645       :  
V0689 Per  ,033210.2+490829 ,11.99,12.11,     0.645       :  
IN    Psc *,233637.4-021245 ,12.5,13.2,0.645017
ET    Boo *,145920.3+464904 ,9.14,9.5,0.6450412
V2539 Sgr  ,182338.9-341148 ,14.7,15.8,0.6450824
GZ    Com  ,122139.6+281506 ,16.5,17.5,0.64527
V0388 Her  ,171845.1+233748 ,15.6,16.7,0.6453251
HQ    Cet  ,023555.9+024629 ,13.3,14.2,0.64537
MM    Lib  ,144800.0-014943 ,18.5,19.7,0.645412
V1416 Oph  ,170745.6-184120 ,15.7,16.9,0.64544
AO    Com  ,123610.0+222342 ,14,15,0.645536
V0454 Vir  ,131117.1-015534 ,18.8,19.7,0.645542
EM    Vir  ,122922.9+091558 ,15,16.2,0.645858
ER    Gem  ,063821.7+215704 ,14.8,16.3,0.645866
V0778 Her  ,164950.4+424314 ,15.75,16.55,0.645872
V1243 Oph  ,170202.2-180012 ,17.1,17.7,0.64599
DF    Cir  ,141751.4-680249 ,7.54,-0.08,0.646
LL    Lib  ,144143.2-205026 ,13.2,14.5,0.646035
WZ    Com  ,120734.0+200609 ,13.9,15.5,0.646043
V0448 Vir  ,130855.3-015852 ,17.9,19,0.646063
V0435 Vir  ,125757.8-005857 ,16.6,17.4,0.646143
OT    Del  ,203131.9+064632 ,12.25, 12.93 :   ,0.646147
V0687 Sgr *,181432.5-342235 ,11.9,12.7,0.64615
V2687 Oph  ,163208.7-003834 ,16.2,17,0.646194
V0339 UMa  ,103131.7+501500 ,13.57,14.41,0.64634
V2810 Sgr  ,181600.9-343057 ,15.7,16.4,0.64641
V0479 Vir  ,133330.5-004453 ,17.9,18.3,0.646523
Y     Oct  ,142904.4-883844 ,11.3,12.8,0.646626
TV    Pyx *,090834.7-341041 ,12.1,12.5,0.646765
V0840 Sco  ,175553.8-444454 ,14.5,15,0.646798
V2679 Oph  ,162226.9-001008 ,17.1,18.1,0.646861
V3041 Sgr  ,182000.0-365340 ,15.6,17.1,0.64691
V3643 Sgr  ,183611.2-313026 ,16,16.8,0.64694
V0477 Ser  ,155043.1+022752 ,12.6,13.7,0.647082
V1311 Oph  ,170441.4-213643 ,16.3,17.1,0.64735
TY    Cet *,022044.3-142323 ,11.62,12.1,0.647364
V1519 Oph  ,171028.6-163746 ,15.4,16.6,0.64757
V0396 CrA  ,180354.0-433652 ,13.4,14.4,0.6477281
V2743 Oph  ,174050.3+074219 ,14.4,15.5,0.6477471
V0395 Nor  ,160016.8-450736 ,9.11,9.54,0.647878
BE    Col *,060402.4-314341 ,11.29,11.63,0.64788
CY    Peg  ,214947.2+210838 ,12.3,13.4,0.64795
DN    Com  ,123540.5+172850 ,16.7,17.7,0.64795
V0504 And *,004500.4+384356 ,13.4,13.7,0.648
NX    And  ,011548.3+394505 ,14.3,15.7,0.648047
V3764 Sgr  ,184117.0-325131 ,14.5,16.3,0.64807
FT    Tel  ,184241.5-525052 ,13.1,13.8,0.64809
DD    Aps  ,170353.8-743649 ,12.3,13.1,0.6482
V1799 Oph  ,171754.4-190941 ,16.3,17.7,0.64834
S     Ant *,093218.4-283740 ,6.27,6.83,0.6483489
V0886 Sgr  ,191836.5-251907 ,14.8,15.8,0.6484454
MO    Com  ,130514.4+283713 ,14.25,14.58,0.6485456
V1745 Aql  ,190721.9+041614 ,17.8,18.4,0.6486
UZ    Eri  ,031345.8-141244 ,12.34,13.27,0.648618
V0735 Her  ,173014.8+394100 ,15.6,16.7,0.648869
V2511 Cyg  ,194543.5+321002 ,13.7,14,0.6489015
V0412 Vir  ,124350.6-012821 ,17.3,17.9,0.649159
V0810 Sco  ,161550.1-113109 ,15.2,16.8,0.64922
LP    Leo  ,113639.8-012517 ,16.5,17,0.649233
DS    CMi *,072519.0-000500 ,11.6,11.92,0.64935
IU    Cas  ,234439.2+522042 ,12.1,13,0.649384
V1053 Cas *,004712.7+610204 ,15.2,15.8,0.649435
AG    Her *,164032.9+403706 ,11.99,13.24,0.6494465
AC    Sex  ,094427.6-034148 ,12.7,13.9,0.649469
V1617 Sgr  ,183023.2-333858 ,14.3,15.9,0.6494899
UY    Hor  ,033103.1-452403 ,14.2,15.1,0.6496638
V1059 Cas  ,005436.0+743141 ,10.52,10.73,0.64968
V0493 Sgr  ,191041.5-352254 ,14.5,15.8,0.6497726
XZ    Lib  ,150817.9-250732 ,13.8,15.4,0.64978
V1303 Aql  ,194618.1+045922 ,15.1,16.3,0.6498
V1959 Oph  ,172200.8-203705 ,17.5,18.7,0.64988
V0462 Cen  ,124715.5-311339 ,13.5,14.2,0.65
IK    Hya *,120447.3-274043 ,9.96,10.42,0.65
V1251 Cen  ,123420.6-481514 ,13.51,( 0.13   V),0.65
IR    Sct  ,185113.0-083224 ,15.9,16.5,     0.65        :  
V0741 CrA *,180756.3-435248 ,16,17,0.65
V1236 Oph  ,170158.8-223454 ,17.6,19.2,0.65001
V2706 Sgr  ,181346.5-324114 ,16.1,17.1,0.65005
HV    CrA  ,181356.3-373212 ,14.3,15.5,0.65005
V0512 Vir  ,135700.0-013426 ,18.8,19.6,0.650135
GS    Vir  ,145121.6+051246 ,15.3,16.8,0.6501552
TY    Scl  ,235806.7-334510 ,14.3,15.8,0.6502
V0546 Peg  ,224952.1+305057 ,12.7,13.38,0.650207
V0785 Ara  ,171113.2-571405 ,13.7,14.3,0.6504
V0350 Vir  ,113943.3+090809 ,12.8,13.7,0.6505
FM    Psc *,003149.8+045046 ,8.01,8.11,0.6507
UY    Boo *,135846.3+125706 ,10.23,11.4,0.6508964
GQ    Tel  ,185239.5-561803 ,14,14.8,     0.65107     :  
V3648 Sgr  ,183635.1-320421 ,15.7,16.5,0.65109
V0387 Cam *,052146.3+654455 ,12.5,13.1,0.65113
X     Ari *,030830.9+102645 ,8.97,9.95,0.6511628
AU    Boo  ,134949.8+160746 ,15.1,15.9,0.651265
CF    Ara  ,165353.5-590946 ,14.7,16.3,0.651275
AZ    Lib  ,152038.4-221729 ,11.8,12.8,0.6513749
AQ    Cep  ,082243.9+860452 ,12.2,13.3,0.6514463
AO    CrA  ,183946.4-392814 ,14.7,15.5,0.6514709
DU    Del  ,204537.9+113646 ,14.1,15.5,0.6514793
V1313 Oph  ,170445.7-202418 ,16.4,17.7,0.6515
IR    Lac *,220849.2+525040 ,15.2,16,0.6515045
WW    Vir  ,132823.9-051709 ,11.9,13.5,0.6515827
V1409 Sgr *,180309.5-301158 ,17.4,18.3,0.651612
V0535 CrA *,181644.3-390150 ,14.7,15.6,0.6516156
ER    Hya  ,125325.3-253638 ,13.6,14.7,0.651622
V0628 Cyg *,213404.0+471422 ,12.2,12.7,0.651652
V0812 Sco  ,161557.9-144308 ,15.5,16.7,0.65168
V0407 And  ,231058.2+501625 ,15.5,16.6,0.65176
V0370 Tel  ,182105.1-540745 ,13.7,14.4,0.65186
HM    Pav  ,201539.7-685811 ,15.6,16.5,0.652
V0397 Vir  ,122748.2-005846 ,16,17.1,0.652196
FI    Oct  ,191404.5-860125 ,13.15,13.95,0.65231
BQ    Hya  ,123050.4-304732 ,14.5,15.8,0.65237
EO    Lyn *,070901.2+503754 ,13.8,14.6,0.6524
V0429 Ser  ,152113.8-010304 ,19.3,19.7,0.65248
AT    Tri  ,013806.3+330036 ,14.1,15.1,0.6525
XY    UMi  ,141755.7+714107 ,12.95,13.75,0.65252
V0754 Sco  ,162009.4-095959 ,14.7,16.3,0.65261
V0375 Gem *,072246.0+170228 ,12.7,13.6,0.65264
DF    Vir  ,122233.5+111740 ,15.1,15.9,0.652728
VZ    Pav  ,175503.3-613605 ,13.6,14.8,0.65276
V0885 Cep  ,222903.1+714843 ,13.1,13.45,0.652783
V0480 Her  ,172220.4+205641 ,15.4,16.2,0.6528598
V0487 Ser  ,155315.7+173412 ,13.3,14.5,0.65297
V2120 Oph *,170438.1-244217 ,15.6,16.7,0.652996
IY    Lyr *,182940.8+310001 ,13.8,14.1,0.6531646
IT    Pav  ,203047.3-600017 ,12.8,14.3,0.6534
V0836 Cyg *,212123.6+354411 ,8.57,9.23,0.6534122
RX    Leo *,112358.4+263654 ,11.56,12.27,0.6534122
V0590 Vir  ,144209.7-001033 ,17.9,19,0.653437
V1291 Oph  ,170352.8-201753 ,16.3,17.6,0.65349
V0448 Her  ,164238.7+395245 ,13,15,0.653529
V0421 Dra  ,191931.5+815535 ,12.16,12.54,0.653555
FU    Boo  ,142253.8+193220 ,13.2,14.6,0.65357
V0492 Ara *,171124.4-570054 ,14,14.7,0.6536
V0552 Cen  ,144630.7-415335 ,14.7,15.3,0.6536
Z     CVn *,124945.4+434626 ,11.46,12.36,0.653819
V0736 Cyg *,194951.9+380817 ,16.4,16.8,0.6538264
V0682 Oph  ,160852.3-072008 ,13.6,15.1,0.653932
AW    Aqr  ,222454.7-233842 ,15,<16.2      ,0.654
V0643 CrA  ,184153.4-372830 ,14.9,15.8,0.6542708
V0460 Ser  ,154122.5-002929 ,16.8,17.3,0.65435
BG    Ant  ,093423.7-253313 ,13.55, 14.6  :   ,0.654531
V0494 Ser  ,155657.6-001603 ,15.5,16.7,0.654613
V0528 Ara *,172758.6-622740 ,14.9,15.8,0.6547
V2588 Cyg  ,211240.5+423039 ,16.5,16.77,0.65472
V0905 Sgr  ,192821.7-264447 ,14.9,15.4,0.654762
V3618 Sgr  ,183545.6-363606 ,14.4,16,0.65482
V1538 Sgr  ,180441.3-301720 ,17.5,18.6,0.65494
V0469 Sgr  ,185602.5-325424 ,14.4,15.4,0.6549941
V0489 Hya  ,083611.0-004554 ,15.2,16.3,0.655139
OW    Aqr  ,233218.0-172351 ,12.1,13.1,0.655178
HX    And  ,004207.7+382136 ,16.2,16.9,0.65529
V0804 Aql *,190541.4-061304 ,12.5,12.8,0.655366
V0452 Peg  ,214306.4+080332 ,13.53,14.4,0.6556376
CL    CrA  ,185120.0-405759 ,14.3,15.4,0.6556387
GG    Aqr  ,221753.0-000535 ,14.2,15.1,0.6556452
V1026 Oph *,162255.1-035335 ,16.8,18,0.6557418
V0519 Sco  ,173646.9-433004 ,13.8,14.6,0.655815
V0355 Vir  ,114925.1+052946 ,11.82,11.98,0.65589
CM    Ori *,060354.9+081432 ,12.13,13.17,0.65592205
V0511 Ser  ,160712.1-014522 ,18.3,18.9,0.655923
V0946 Aql  ,190231.4-063253 ,15.2,16.9,     0.656       :  
V0436 Nor *,155219.0-562327 ,17.24,17.8,0.6562
V0418 Sgr  ,190838.6-193000 ,14.4,15.4,0.6562128
RZ    Pyx *,085204.4-272901 ,8.83,9.72,0.656273
V0536 CrA  ,181657.6-381809 ,14.5,15.8,0.6565
V2431 Sgr  ,175853.8-291329 ,17.1,18.5,0.656545
V0399 Vel  ,102501.1-570511 ,8.24,-0.02,0.65664
BR    CrA  ,183731.8-395041 ,14.2,15.1,0.6566548
V0350 Sct  ,185752.7-081252 ,14.8,15.7,0.656685
V0603 Vir  ,150542.9+000111 ,18.8,19.6,0.656697
V0710 Oph  ,162803.1-042051 ,15.2,16.2,0.6567757
EY    Peg  ,231519.8+164719 ,12,14,0.65678
EP    CrA  ,180214.4-372137 ,14.5,15.8,0.65683
AV    Vir *,132011.6+091116 ,11.42,12.16,0.656909
AL    Eri  ,042804.4-171033 ,13.3,14.4,0.65694
NS    Pav  ,210252.2-741943 ,13.3,14.3,0.6572
V1025 Oph  ,162250.8-041703 ,15.8,17,0.6572019
V0449 Vir  ,130921.7-004308 ,16,16.6,0.657447
V1314 Sgr *,184046.5-312643 ,13.9,15.1,0.6575
V0568 Her  ,180915.3+322524 ,15.9,<17.1      ,     0.6576447   :  
BY    Aqr  ,205805.6-110233 ,12.9,14,0.657805
V2679 Sgr  ,181323.2-361111 ,15.6,16.5,0.65789
V2846 Sgr *,181640.9-354614 ,14.9,16.4,     0.65798     :  
V0513 CrA *,181329.8-443736 ,12.8,13.2,0.658039
V1151 Oph  ,165821.9-214929 ,16.1,17.1,0.65806
V2828 Sgr *,181608.5-322904 ,15.8,17.6,     0.65807     :  
SS    Pav  ,191325.5-662130 ,12,12.9,0.65831
V0410 Cam *,054751.5+621133 ,12.25,12.6,0.65856
V0454 Sgr  ,184749.6-322158 ,14.1,14.8,0.6587352
V1374 Sco  ,170020.4-444402 ,14.76,15.14,0.6588
V0799 Cyg *,193812.2+390849 ,14.7,16,0.6588748
CU    CMa  ,071858.7-183409 ,14.3,14.7,0.6589195
V0575 Sco *,165424.5-364922 ,12.3,12.9,0.658939
BY    Vir  ,125408.6+021615 ,14.3,14.8,0.65895
W     Ret  ,032503.2-634645 ,14.9,16.3,0.65907
AV    CrA  ,184647.9-402319 ,14.4,15.3,0.6590927
V0531 CrA  ,181617.4-423219 ,14.3,15.3,0.65921
DM    CrA  ,191045.5-391039 ,13.9,14.9,0.6592222
V0392 Ori  ,061125.2+183300 ,10.9,11.5,0.659284
HX    CrA  ,181403.2-380356 ,14.1,15.2,0.6593034
GW    Gem *,075229.0+270916 ,10.48,11.45,0.659444013
V0498 Peg  ,220451.5+144618 ,12.6,13.3,0.65948
GH    Boo *,141451.5+273416 ,11.6,12,0.6595104
V0630 CrA  ,183334.3-423916 ,14,15.1,0.6596409
LO    Pav *,192718.1-703057 ,15.9,16.5,0.6598
BG    Eri  ,044039.8-091124 ,13.5,14.5,0.65987
V0570 CrA  ,182340.7-404513 ,14.5,15.3,0.659878
GK    Cen  ,134620.9-493551 ,13.6,15,0.6599
V2324 Sgr  ,181555.5-273939 ,16.2,17.7,0.659991
V1158 Her *,161123.2+440621 ,9.78,9.95,0.66
V1327 Her  ,180615.7+280108 ,12.74,13.15,0.6600655
V0680 Her  ,161022.8+214827 ,15.4,16.3,0.660136
V2623 Cyg  ,212132.8+364931 ,14.3,15.6,0.66031
CW    Sge *,195958.0+191045 ,11,11.8,0.660347966
V0399 Cas *,232225.2+610747 ,13.9,14.3,0.660375
SU    Dra *,113756.6+671947 ,9.18,10.27,0.66042001
QR    And *,001949.9+215652 ,12.16,13.07,0.6604565
V0518 Ara  ,171910.6-561129 ,14.3,15.8,0.6605
QV    CrA  ,180921.6-404349 ,14.9,15.6,0.6605972
BY    Nor  ,161022.9-594240 ,14.2,15.2,0.6607
EK    CMi *,075717.5-000501 ,11.85,12.38,0.66075
DW    Del  ,204620.8+154824 ,14.6,16.1,0.6607629
V0496 Mon *,063744.7+031801 ,12.5,13.3,0.6607649
OU    UMa  ,082831.2+672947 ,12.5,13.2,0.66088
V0435 CrA  ,182531.0-375214 ,14.1,<14.7      ,0.660893
GX    Sct  ,184944.4-104357 ,15,15.8,0.66095
V1821 Oph  ,171823.6-164142 ,17.3,17.9,0.66095
KQ    Cnc  ,081636.0+182058 ,13.1,14.3,0.66096
BF    Com  ,130213.5+241420 ,13.4,15.1,0.66141
V1010 Oph *,164927.7-154005 ,6.1,7,0.66142613
V2119 Oph *,170418.6-245520 ,15.9,17.2,0.6614306
V1043 Cas *,003712.0+530132 ,13.29,14.18,0.6616
V1522 Oph  ,171040.9-191726 ,14.3,16.2,     0.66166     :  
VY    Boo  ,144944.9+242911 ,12.63,13.65,0.661716
DL    Cap  ,213902.0-211246 ,11.9,12.6,0.66186
RV    Pav  ,180934.0-592722 ,13.6,14.7,0.66194
V1144 Cyg  ,193927.0+553127 ,15.7,17.2,0.662008
HU    Car  ,103105.7-622334 ,14,14.9,0.6620123
UW    Hor  ,032429.3-485659 ,12.7,13.4,0.6621484
V0829 Sco  ,175300.2-452123 ,14,14.6,0.6623521
V3740 Sgr  ,184033.5-362629 ,14.8,16.4,0.66247
V1188 Cas  ,232942.2+550347 ,15.3,( 0.4    *),0.662505
XX    Mic  ,205615.4-385828 ,15.24, 16.79 :   ,0.66252
DV    Vir *,145441.6+024421 ,13.6,14.8,0.662674
IV    Eri  ,042115.4-351814 ,12,13.5,0.66278
HT    Car *,102822.5-574448 ,13.8,14.3,0.6629146
EW    Pav  ,194107.3-695925 ,14.9,15.9,0.663
V0906 Sgr  ,192826.9-244658 ,13.8,15.2,0.6630479
AK    Aps  ,153603.1-742302 ,13.7,15.1,0.66315
CS    Tri *,023824.8+320742 ,11.15,11.4,0.6633
V0516 Ara  ,171941.6-611226 ,14.8,15.2,     0.6635      :  
V0438 Sgr  ,192329.2-151804 ,15,16.1,0.6636827
QQ    Dra  ,151646.7+614456 ,13.5,14,0.6637
RZ    Crv *,125035.8-182534 ,13.3,14.1,0.663756
V1049 Oph  ,163546.6-044520 ,16.3,17.7,0.6639973
V0392 Cam *,053344.9+713729 ,13.8,14.3,0.664
BZ    Eri *,041212.7-060118 ,9,9.48,0.6641701
V0428 Per *,030235.9+411204 ,14.3,15.2,0.664191
DR    Hya  ,115212.2-351935 ,13.2,14,0.66422
RS    Sct *,184911.3-101428 ,9.78,10.91,0.6642384
AL    Crt  ,112937.2-154210 ,12.9,13.9,0.66431
V0442 Vir  ,130252.2-013804 ,17.2,17.8,0.664569
AU    CrA *,184548.9-405536 ,14.9,15.5,0.6646496
BD    Tri  ,013612.3+304902 ,12.8,13.1,0.6647
AC    Lib  ,151044.2-220815 ,13.9,14.6,0.66495
KR    Sct  ,185203.1-100556 ,15.6,16.6,     0.665       :  
V0468 Ara  ,170713.4-591022 ,15,16.1,0.6651
VY    Tuc  ,002703.9-604827 ,14.5,16.1,0.66517
AQ    CrB  ,155731.8+283801 ,11.78,12.73,0.665426
BR    Tri *,020721.2+320202 ,12.95,13.4,0.6656
QY    Ori  ,055612.4+162827 ,15.3,16.3,0.665685
V1382 Sco  ,170037.1-443634 ,16.38,16.63,0.6662
V1328 Sgr *,180208.9-301719 ,17.3,18.1,     0.66621     :  
HL    Pav *,201701.1-732527 ,15,15.9,     0.6663      :  
V0360 CMa  ,061507.6-145504 ,12,13.1,0.666328
AP    CrA  ,183955.6-373357 ,14.4,15.4,0.6665832
FK    Del *,203019.8+122613 ,14,14.6,0.6667316
CT    Tau *,055850.1+270442 ,10.34,11.12,0.6668303
V0703 Cen  ,135215.1-561509 ,14.2,14.8,0.6668608
V1138 Oph  ,165724.4-221837 ,15.2,16.4,0.66688
V1530 Sgr  ,180436.1-300533 ,17.4,18.1,0.66692
MW    Oph  ,165814.5-271559 ,15.5,16.5,     0.66693     :  
V2621 Oph  ,165125.0-202105 ,13,13.7,0.667324
ZZ    Peg *,225854.5+145145 ,12.2,12.8,0.66736
V1244 Sgr  ,190516.1-305432 ,14.6,15.8,0.667532
AA    CVn *,120812.9+331949 ,16.6,17.7,0.667606
V0505 Cyg *,202928.9+324750 ,11.7,12.4,0.667672
V1386 Sgr  ,180252.0-300803 ,18,18.5,0.667679
AP    Sex  ,101428.4-014111 ,18.1,18.7,0.667717
V2726 Oph  ,172336.1-011127 ,11.9,12.8,0.667788
V5600 Sgr  ,175054.0-293142 ,17.68,-0.42,0.66782
SV    CVn *,123556.0+371225 ,12.2,13,0.668062
BL    CrA  ,191823.1-393433 ,15.1,16,0.6682496
V1212 Oph  ,170047.2-191426 ,15.8,16.8,0.66828
EV    Pav  ,193852.1-714503 ,14,15,0.6683
KK    And  ,013416.6+371414 ,5.91,-0.012,0.6684
V0967 Aql  ,191528.0-110019 ,13.7,14.7,0.6685285
BL    Vir  ,123103.3-041914 ,14.2,15.4,0.6686395
V1007 Oph  ,164337.3-135135 ,15.2,16.3,0.668693
DQ    Lyr  ,190133.6+311159 ,14.1,15.2,0.669132
V3183 Sgr  ,182305.3-343303 ,15.8,16.8,0.66915
V2480 Cyg  ,210405.9+393300 ,12.32,13.1,0.66927
BG    UMa *,132644.0+561834 ,10.84,10.93,0.669397
RS    Com *,131439.5+171149 ,14.7,15.9,0.6696205
V0528 Sco  ,174137.1-444940 ,15.3,16.3,0.66975
V1551 Oph  ,171144.0-205526 ,16.1,17.9,0.66976
V1153 Cas  ,014629.0+611613 ,13.52,-0.03,0.6698
KS    Lyr  ,183211.7+331741 ,14.6,15.2,     0.67        :  
TY    Cam  ,053326.3+622915 ,12.6,13.8,0.670067
V0432 Ser  ,152303.6-014121 ,18.5,19.2,0.670186
V0767 Sgr  ,175228.4-264212 ,12.9,13.4,0.670195
V1938 Oph  ,172128.7-190020 ,16.9,18.9,0.67053
VW    Pyx *,085746.0-285736 ,16.47,17.74,0.67059
V0532 Ara *,172911.7-510541 ,11.4,12,0.670973
AD    Mic  ,210140.5-385856 ,14.14,15.26,0.670988
CH    Com  ,121347.1+222042 ,16.2,16.7,0.67169
BM    Vir  ,123155.6+005431 ,13.6,15,0.6718147
KL    Leo  ,110924.2-004513 ,15.8,16.7,0.671831
EN    Pup *,074244.1-263632 ,11.2,11.6,0.6721498
RS    Col *,051531.2-284502 ,9.54,9.99,0.672355
TT    Mic  ,203716.1-444611 ,12.4,13.6,     0.672435    :  
V0863 Sco  ,160500.9-252901 ,13.8,14.7,0.67251
TV    Leo *,111121.9-055331 ,11.46,12.56,0.6728526
V0982 Cas  ,014626.9+611412 ,11.9,( 0.12  Ic),0.67298
V0903 Sgr *,192544.2-272255 ,12.8,13.7,0.6730857
V0475 Sgr  ,185841.0-322435 ,14.6,15.4,0.6734982
V0529 Cen  ,143219.0-380835 ,14.3,15.8,0.6735
V0445 Cas *,003139.7+531300 ,10.89,11.32,0.67352
SY    Psc  ,010232.9+052343 ,12.4,13.8,0.67354111
AG    CVn *,122216.6+334905 ,16.5,17.5,0.673695
V1193 Cyg *,202111.5+593603 ,13.8,14.3,0.674
BZ    Ari  ,025828.8+294754 ,11.26,11.43,0.6741
V1116 Cas  ,013237.0+615812 ,9.35,9.45,0.6741
V2390 Cyg *,194115.3+401232 ,18.11,-0.15,0.6742
V1743 Aql *,190719.7+041539 ,14.83,15.1,0.6743
BT    Boo  ,134328.6+235608 ,15.4,16,0.67456
EF    Hya  ,120227.7-352646 ,14.7,15.8,0.67457
DP    CrA  ,185658.5-392116 ,14.4,15.3,0.6745818
V1127 Cas  ,013332.3+603930 ,13.09,-0.11,0.6751
TW    Hyi *,021930.6-733357 ,12.56,13.39,0.67538
V0819 Cen  ,131921.7-581141 ,9,-0.07,     0.6755      :  
AR    Dra *,121636.6+645127 ,11.29,12.51,0.6758375
V0602 Her  ,163840.4+320218 ,16,16.9,0.6758404
V0404 And *,010124.4+411501 ,10.3,10.9,0.67603321
IK    Per *,042927.5+420311 ,11.3,11.6,0.6760369
LM    Leo  ,113149.7-021426 ,14.9,15.9,0.67618
V1907 Oph  ,172035.8-173651 ,15.9,17.2,0.67645
V0907 Aql *,201442.1+004937 ,15.3,15.7,0.676776
V1423 Sgr  ,180320.8-295329 ,17,17.4,0.676983
V0719 Oph  ,163137.0-062926 ,14.9,15.9,0.677
V1032 Sgr *,185455.1-175531 ,14.7,15.2,0.6770114
V1011 Cas  ,010415.0+623216 ,12.57,13,0.67708
V0412 Sgr  ,190724.3-332324 ,14.7,15.6,0.6772657
DZ    CVn  ,131703.4+360658 ,14,15.03,0.677325
ES    Hya  ,125647.9-253626 ,13.2,14.5,0.677539
V0516 Peg  ,221740.0+171017 ,12.77,13.15,0.677572
